bird_id,date,color,frequency,trial_order,time,time_numeric,time_decimal,light_int_left,light_int_right,mean_light_int,delta_light_int,temp,r_h,light_position,direction,direction_binary,preference,preference_binary,latency_new,speed,latency_new_frames,video_new,video_new_frames,body_move_freq,head_move_freq,day_from_start,day_from_start_order,light_int_at_position,light_int_not_at_position
24_BBRO,12/17/2020,Red,Steady,1,12:12,1212,12.2,2158,5082,3620,2924,2.94,58.9,Right,Left,0,Away,1,2.436,1.502463054,73,0.467,14,0,1,1,1,5082,2158
11_YYGY,12/17/2020,Red,Steady,1,12:40,1240,12.67,4928,4971,4949.5,43,2.39,74.4,Right,Left,0,Away,1,38.505,0.095052591,1155,34.801,1044,5,21,1,1,4971,4928
25_GGBG,12/17/2020,Red,Pulse,1,13:22,1322,13.37,3515,2703,3109,812,4.67,69.2,Right,Left,0,Away,1,298.431,0.012264141,8953,286.853,8606,2,20,1,1,2703,3515
5_YBBB,12/17/2020,Red,Steady,1,13:52,1352,13.87,3509,4574,4041.5,1065,1.83,76.2,Right,Left,0,Away,1,8.074,0.453306911,242,3.503,105,0,5,1,1,4574,3509
13_WBRG,12/17/2020,Red,Steady,1,16:23,1623,16.38,1590,1744,1667,154,0.94,81,Right,Left,0,Away,1,11.311,0.323578817,339,2.2,66,1,2,1,1,1744,1590
10_BOYOG,12/17/2020,Red,Steady,1,16:50,1650,16.83,1487,1623,1555,136,0.11,80.6,Right,Left,0,Away,1,12.045,0.303860523,361,12.045,361,1,4,1,1,1623,1487
14_YROO,12/19/2020,Red,Steady,1,11:36,1136,11.6,1501,2604,2052.5,1103,5.61,81.1,Right,Left,0,Away,1,2.302,1.589921807,69,1.034,31,0,2,3,2,2604,1501
15_YGYB,12/19/2020,Red,Steady,1,11:47,1147,11.78,1835,2245,2040,410,5.72,81.2,Right,Left,0,Away,1,2.836,1.290550071,85,0.667,20,0,0,3,2,2245,1835
23_YWRG,12/19/2020,Red,Steady,1,12:57,1257,12.95,2703,2679,2691,24,6.78,75.3,Right,Left,0,Away,1,4.038,0.906389302,121,2.136,64,0,4,3,2,2679,2703
4_OBOY,12/19/2020,Red,Steady,1,13:50,1350,13.83,2254,6630,4442,4376,7.72,72.1,Right,Left,0,Away,1,22.022,0.166197439,661,18.652,560,2,15,3,2,6630,2254
8_OWYO,12/20/2020,Red,Steady,2,11:00,1100,11,11976,8960,10468,3016,7.28,57.6,Right,Left,0,Away,1,52.318,0.069956803,1570,3.17,95,2,4,4,3,8960,11976
4_OBOY,12/20/2020,Blue,Pulse,2,11:55,1155,11.92,7543,9248,8395.5,1705,5.5,61.8,Right,Left,0,Away,1,18.519,0.197634861,556,8.775,263,2,11,4,3,9248,7543
6_RRBY,12/20/2020,Red,Pulse,2,12:29,1229,12.48,5336,5833,5584.5,497,6.94,58.9,Right,Left,0,Away,1,34.434,0.106290294,1033,3.604,108,0,4,4,3,5833,5336
24_BBRO,12/20/2020,Blue,Pulse,2,13:34,1334,13.57,3179,2169,2674,1010,6.67,58.5,Right,Left,0,Away,1,2.369,1.544955678,71,0.534,16,0,0,4,3,2169,3179
10_BOYOG,12/20/2020,Red,Pulse,2,14:45,1445,14.75,1836,1868,1852,32,6.28,60.7,Right,Left,0,Away,1,254.855,0.014361107,7646,224.392,6732,5,22,4,3,1868,1836
17_YGWO,12/20/2020,Red,Steady,2,15:56,1556,15.93,1031,1502,1266.5,471,6.78,58,Right,Left,0,Away,1,4.337,0.843901314,130,1.401,42,1,1,4,3,1502,1031
25_GGBG,12/20/2020,Red,Steady,2,16:04,1604,16.07,2191,2723,2457,532,4.56,64.5,Right,Left,0,Away,1,6.373,0.574297819,191,1.759,53,1,2,4,3,2723,2191
11_YYGY,12/20/2020,Blue,Pulse,2,16:25,1625,16.42,1923,2197,2060,274,5,63.8,Right,Left,0,Away,1,2.802,1.30620985,84,1.302,39,1,2,4,3,2197,1923
