wl,1200_Clear
300,0.018910474
301,0.020162141
302,0.021833316
303,0.027829199
304,0.034388479
305,0.043349207
306,0.051165275
307,0.060686088
308,0.069376955
309,0.079177072
310,0.09357975
311,0.107444354
312,0.126137286
313,0.148421305
314,0.166606186
315,0.183764649
316,0.204072995
317,0.222594083
318,0.241627278
319,0.26878181
320,0.288327594
321,0.303405843
322,0.317612926
323,0.327779841
324,0.345943109
325,0.380583583
326,0.422935017
327,0.454601043
328,0.48936153
329,0.517932893
330,0.532834256
331,0.550818587
332,0.556066466
333,0.550220236
334,0.553450022
335,0.549029573
336,0.544456043
337,0.546761769
338,0.548580759
339,0.564863529
340,0.584219182
341,0.602629649
342,0.613944102
343,0.605227983
344,0.601700736
345,0.596749523
346,0.595047997
347,0.603501501
348,0.611896661
349,0.628835119
350,0.648312404
351,0.667648354
352,0.686037783
353,0.698383886
354,0.713398567
355,0.72489488
356,0.715853468
357,0.67545605
358,0.641585566
359,0.634952497
360,0.640707842
361,0.670769779
362,0.693891208
363,0.707108977
364,0.725796489
365,0.753667341
366,0.787159757
367,0.802671496
368,0.825778014
369,0.836090266
370,0.83928144
371,0.840995748
372,0.820143565
373,0.787469061
374,0.760233449
375,0.753692806
376,0.781530407
377,0.845300204
378,0.888633775
379,0.91691334
380,0.922187652
381,0.876591372
382,0.808187269
383,0.744426074
384,0.700145738
385,0.691808517
386,0.720826591
387,0.748329341
388,0.772174842
389,0.804663793
390,0.853843568
391,0.896572797
392,0.878808149
393,0.834041695
394,0.802246428
395,0.78168848
396,0.795381771
397,0.861768882
398,0.941418116
399,1.05930911
400,1.210704186
401,1.334383703
402,1.408829128
403,1.445791945
404,1.457914606
405,1.448793297
406,1.436403705
407,1.434078393
408,1.454537656
409,1.467357702
410,1.496020096
411,1.526438296
412,1.552221261
413,1.592974061
414,1.620381348
415,1.637021617
416,1.639122113
417,1.633720618
418,1.629654267
419,1.619127278
420,1.628270346
421,1.638658913
422,1.647285813
423,1.653555359
424,1.64345283
425,1.639787794
426,1.633331553
427,1.627658033
428,1.608731252
429,1.550331254
430,1.485608275
431,1.464093847
