wl,1200_Cloudy
300,0.013397215
301,0.016252306
302,0.020276009
303,0.019584907
304,0.022913872
305,0.028463429
306,0.032994405
307,0.039996664
308,0.047427337
309,0.054081708
310,0.064140048
311,0.076697359
312,0.088489368
313,0.100655737
314,0.110029304
315,0.119442653
316,0.129333858
317,0.140308515
318,0.155118799
319,0.166388241
320,0.176947527
321,0.185415638
322,0.191854646
323,0.201901552
324,0.218039585
325,0.236726052
326,0.256886433
327,0.277577109
328,0.293623266
329,0.308819302
330,0.320472631
331,0.327522566
332,0.32879824
333,0.327744884
334,0.323457448
335,0.318197622
336,0.317825909
337,0.31834209
338,0.323108227
339,0.331592267
340,0.340703842
341,0.347874049
342,0.349214263
343,0.348953838
344,0.345107897
345,0.341889477
346,0.343447715
347,0.344847657
348,0.350668452
349,0.359227677
350,0.367283588
351,0.377836616
352,0.38788049
353,0.392971849
354,0.398537103
355,0.398712834
356,0.387425214
357,0.372704367
358,0.360330751
359,0.35643097
360,0.361408767
361,0.371533346
362,0.38044123
363,0.391767763
364,0.40539502
365,0.417738091
366,0.431711809
367,0.440912254
368,0.448476345
369,0.453535555
370,0.455323225
371,0.450482779
372,0.437712728
373,0.424260538
374,0.413684097
375,0.41563526
376,0.433414399
377,0.455256972
378,0.474774071
379,0.487479689
380,0.480019457
381,0.456363393
382,0.426060727
383,0.396838634
384,0.379011361
385,0.377809683
386,0.386739301
387,0.397437386
388,0.413814799
389,0.434146912
390,0.454159359
391,0.461044943
392,0.452862835
393,0.441725854
394,0.426948709
395,0.418693701
396,0.433783979
397,0.460778181
398,0.502920996
399,0.569135454
400,0.633758269
401,0.687604972
402,0.728214239
403,0.750694898
404,0.756252359
405,0.755081332
406,0.751654462
407,0.752802154
408,0.757408563
409,0.765345729
410,0.780139433
411,0.791341448
412,0.808726232
413,0.824628638
414,0.836368811
415,0.846169948
416,0.847499552
417,0.846434774
418,0.842936024
419,0.840932546
420,0.844624034
421,0.845142162
422,0.849443095
423,0.848285338
424,0.843060552
425,0.842103442
426,0.836866455
427,0.830929275
428,0.814694438
429,0.787992056
430,0.768495514
431,0.762143505
432,0.774209815
433,0.803273976
434,0.83762595
435,0.868993275
436,0.895189788
437,0.910991621
438,0.917527617
439,0.921625254
440,0.930931102
441,0.951093395
442,0.97513876
443,0.999858263
444,1.017646197
445,1.029658077
446,1.040439724
447,1.051593723
448,1.069218684
449,1.093145521
450,1.116305549
451,1.130828899
452,1.138693834
453,1.137152145
454,1.13221623
455,1.135186298
456,1.140910966
457,1.148702235
458,1.155734823
459,1.162443141
460,1.167770713
461,1.175551853
462,1.183105598
463,1.187120035
464,1.190291662
465,1.185471866
466,1.179666205
467,1.176349482
468,1.172922119
469,1.16961056
470,1.172107295
471,1.177303765
472,1.182203932
473,1.193684709
474,1.20138578
475,1.203935721
476,1.209824229
477,1.213941636
478,1.22020396
479,1.2301429
480,1.239822465
481,1.250097125
482,1.255101723
483,1.255010745
484,1.239251503
485,1.207485309
486,1.178348036
487,1.154872795
488,1.150933532
489,1.166547511
490,1.182749788
491,1.196806058
492,1.206766193
493,1.213758893
494,1.220195391
495,1.228372992
496,1.237059064
497,1.23750526
498,1.238326846
499,1.232715838
500,1.220239211
501,1.211101274
502,1.201595792
503,1.196606244
504,1.201155529
505,1.208857124
506,1.217178705
507,1.22396124
508,1.229026986
509,1.230236114
510,1.232878186
511,1.23634375
512,1.234123521
513,1.230161109
514,1.224947376
515,1.212324238
516,1.191166153
517,1.168410431
518,1.149985427
519,1.146858542
520,1.158398529
521,1.177899029
522,1.195499682
523,1.215898904
524,1.232386218
525,1.238428446
526,1.235319067
527,1.231674968
528,1.230726146
529,1.240859138
530,1.260208833
531,1.271675049
532,1.278139456
533,1.280146871
534,1.281074464
535,1.286697389
536,1.289962597
537,1.297799301
538,1.296793077
539,1.292600861
540,1.287148896
541,1.280053919
542,1.276950669
543,1.28113818
544,1.287282206
545,1.294461667
546,1.299331568
547,1.302274145
548,1.306292931
549,1.30940072
550,1.313337158
551,1.316631201
552,1.317590042
553,1.31964485
554,1.323581672
555,1.325339144
556,1.324228856
557,1.321545854
558,1.311824954
559,1.304189154
560,1.301519982
561,1.298883311
562,1.302997915
563,1.306424787
564,1.309087147
565,1.308753742
566,1.309118838
567,1.306143653
568,1.303606939
569,1.300266298
570,1.291615757
571,1.289017754
572,1.288548831
573,1.291457633
574,1.294710365
575,1.294875316
576,1.294968917
577,1.292611668
578,1.290495783
579,1.292558931
580,1.295486991
581,1.306632432
582,1.320039244
583,1.333314845
584,1.342704719
585,1.347253914
586,1.349028209
587,1.345029016
588,1.326474095
589,1.304918256
590,1.285969002
591,1.273067001
592,1.279091082
593,1.28688313
594,1.293071495
595,1.300578902
596,1.308183995
597,1.317497638
598,1.324738322
599,1.330546834
600,1.335161622
601,1.336055908
602,1.338697536
603,1.34460398
604,1.352713572
605,1.362053647
606,1.368575392
607,1.373103496
608,1.375823781
609,1.372095684
610,1.366855531
611,1.362620467
612,1.356212034
613,1.35359319
614,1.351038391
615,1.347116099
616,1.340751722
617,1.33942229
618,1.338921953
619,1.345515417
620,1.35569073
621,1.36154299
622,1.365864886
623,1.365728675
624,1.361096352
625,1.355632336
626,1.350071737
627,1.34015073
628,1.330829354
