wl,1200_Cloudy_45Deg
300,311.0617067
301,313.5924664
302,319.0141777
303,325.979876
304,335.8354562
305,346.788584
306,358.1322837
307,378.113101
308,389.4567015
309,409.2570754
310,442.8193145
311,482.52076
312,513.1228947
313,541.030476
314,561.1143022
315,581.7474595
316,614.8214682
317,656.135403
318,693.0482155
319,730.6110165
320,771.1479287
321,795.3273165
322,796.6005577
323,815.746668
324,867.9255815
325,955.9527325
326,1044.059483
327,1093.056856
328,1124.555892
329,1165.443458
330,1201.61913
331,1189.289678
332,1175.4575
333,1178.301667
334,1196.473051
335,1203.406749
336,1162.151692
337,1129.232819
338,1170.995755
339,1296.751913
340,1371.979391
341,1387.291066
342,1373.215714
343,1351.036213
344,1330.180086
345,1309.150771
346,1345.714117
347,1352.252157
348,1360.451942
349,1396.435342
350,1456.368101
351,1510.660691
352,1506.499433
353,1541.146445
354,1619.264903
355,1668.458464
356,1608.464177
357,1487.2081
358,1401.119481
359,1468.81314
360,1570.747916
361,1602.307081
362,1626.528838
363,1687.520517
364,1730.609704
365,1840.863964
366,1951.403514
367,2011.612431
368,1998.006787
369,2007.075748
370,2024.213265
371,2002.83746
372,1935.554905
373,1810.199813
374,1724.270397
375,1748.535097
376,1849.429949
377,2015.104028
378,2126.326024
379,2113.616531
380,2050.65216
381,1972.410855
382,1797.092837
383,1594.327907
384,1596.593198
385,1705.669946
386,1801.374728
387,1834.995061
388,1849.352998
389,1936.435058
390,2082.420968
391,2194.193841
392,2082.548731
393,1787.987704
394,1682.688428
395,1877.043185
396,1896.440928
397,1881.05557
398,2096.319446
399,2506.031235
400,2791.296663
401,2965.810033
402,3067.958126
403,3115.046613
404,3088.106035
405,3062.19217
406,3029.908348
407,3019.614912
408,3090.40785
409,3131.50599
410,3125.991544
411,3144.881968
412,3256.111219
413,3324.030521
414,3330.902133
415,3347.03834
416,3373.596369
417,3359.60837
418,3314.036408
419,3268.226832
420,3271.758691
421,3312.662631
422,3318.342342
423,3277.789607
424,3256.877572
425,3261.932067
426,3253.222237
427,3221.903502
428,3173.357192
429,3074.226096
430,2850.873516
431,2808.412938
432,2980.913809
433,3231.492125
434,3294.048546
435,3367.696041
436,3537.776682
437,3623.572559
438,3552.250027
439,3506.490095
440,3533.553051
441,3649.527922
442,3787.849563
443,3893.704471
444,3949.28953
445,3924.622091
446,3899.10558
447,3914.480514
448,4009.83307
449,4059.081269
450,4133.765816
451,4196.667234
452,4192.226568
453,4081.010238
454,4011.025753
455,4017.365892
456,4059.658578
457,4143.342374
458,4159.412525
459,4143.73576
460,4157.77226
461,4215.644317
462,4307.903275
463,4352.8847
464,4364.212852
465,4379.733858
466,4408.893755
467,4454.154145
468,4507.356686
469,4618.310456
470,4687.570382
471,4786.564865
472,4970.415998
473,5169.281165
474,5340.780186
475,5523.170941
476,5679.901369
477,5849.28947
478,6061.407375
479,6311.443595
480,6528.11555
481,6759.973609
482,6943.872007
483,7081.984512
484,7171.949759
485,7154.78059
486,6860.947262
487,6685.912176
488,6898.19499
489,7204.252839
490,7481.785864
491,7693.369904
492,7671.673853
493,7683.221041
494,7813.684793
495,7933.303833
496,8052.633948
497,8090.641118
498,8025.323135
499,7985.455389
500,7912.220617
501,7796.456892
502,7679.009309
503,7712.914558
504,7746.48632
505,7797.294734
506,7965.033036
507,8028.131872
508,7944.348092
509,7956.284846
510,7979.150152
511,7987.656688
512,8027.194109
513,8019.187666
514,7904.709156
515,7865.084787
516,7801.57015
517,7525.559425
518,7231.427233
519,7278.617737
520,7444.769243
521,7682.589092
522,7804.190448
523,7836.43242
524,7879.709373
525,7967.842257
526,7902.581951
527,7644.366531
528,7533.114952
529,7708.58797
530,7813.587801
531,7872.513371
532,7857.16806
533,7715.814199
534,7581.46145
535,7623.759692
536,7682.411635
537,7649.644791
538,7559.813685
539,7523.469635
540,7392.258225
541,7245.228293
542,7207.498793
543,7213.18788
544,7229.245742
545,7244.158095
546,7225.024354
547,7199.4361
548,7115.753397
549,7076.58271
550,7078.272677
551,7038.979535
552,7009.120443
553,6970.772329
554,6937.983659
555,6946.958056
556,6929.190527
557,6816.144522
558,6709.110059
559,6582.955958
560,6473.882
561,6489.299765
562,6475.295027
563,6432.010854
564,6397.246709
565,6352.408046
566,6265.182246
567,6213.529856
568,6194.617162
569,6117.903054
570,6004.686881
571,5906.976461
572,5863.85333
573,5898.682091
574,5910.776511
575,5840.461739
576,5753.387556
577,5686.677721
578,5629.373152
579,5563.316132
580,5527.340694
581,5540.152344
582,5564.400107
583,5587.70869
584,5589.010187
585,5551.885423
586,5467.730817
587,5404.576381
588,5349.35188
589,5148.691489
590,4936.650955
591,4894.416784
592,4963.294157
593,4957.48437
594,4936.611744
595,4893.787095
596,4867.134662
597,4856.514316
598,4839.291072
599,4804.548326
600,4777.287917
601,4732.873327
602,4681.169992
603,4640.686046
604,4634.221938
605,4641.65268
606,4606.634057
607,4551.199751
608,4516.433464
609,4476.081402
610,4409.924682
611,4360.752907
612,4324.406795
613,4309.922279
614,4258.888843
615,4217.459564
616,4172.933202
617,4111.74159
618,4082.184554
619,4079.547865
620,4081.580203
621,4088.826837
622,4049.328699
623,3964.091641
624,3905.953609
625,3849.661713
626,3789.69129
627,3745.945011
628,3674.976286
629,3598.443721
630,3548.045909
631,3521.310175
632,3482.843468
633,3465.076398
634,3449.386175
635,3445.212894
636,3423.382186
637,3414.232294
638,3402.025674
639,3392.162229
640,3349.42291
641,3293.805886
642,3247.071291
643,3217.877593
644,3208.620329
645,3189.968441
646,3132.424291
647,3063.474678
648,3040.675423
649,3004.181119
650,2948.545983
651,2927.926441
652,2921.599087
653,2888.738852
654,2879.109285
655,2853.818213
656,2738.782694
657,2582.221693
658,2544.740518
659,2635.264202
660,2659.517138
661,2670.658687
662,2687.066803
663,2677.567812
664,2653.380191
665,2623.825591
666,2603.126468
667,2568.949141
668,2546.860017
669,2532.310395
670,2507.42246
671,2481.483884
672,2442.861572
673,2413.451004
674,2389.777942
675,2359.619534
676,2331.856324
677,2305.303628
678,2274.550287
679,2242.009363
680,2226.876669
681,2217.271474
682,2184.086035
683,2156.717145
684,2127.432307
685,2087.89011
686,2061.010615
687,1932.486578
688,1749.327892
689,1639.421494
690,1653.889739
691,1661.764831
692,1702.161398
693,1728.546498
694,1734.625298
695,1728.26566
696,1724.13877
697,1730.472409
698,1739.812866
699,1726.053093
700,1692.588662
