"wl","Blue_20cd","Blue_40cd","Blue_80cd","Blue_120cd","Red_40cd","Red_80cd","Red_120cd","Red_240cd"
300,2393.95726409555,2395.50228182071,2348.25961122412,2384.62687483554,2381.08399439942,2381.18362266204,2364.92629585134,2383.25876457492
301,2394.00495196139,2394.9743616204,2348.51102977025,2386.04200026413,2379.68832051082,2380.59748825674,2364.57535141289,2382.98657118991
302,2394.01349025921,2394.49339101872,2348.65743654698,2387.22601808626,2378.49917223664,2380.16873445641,2364.20838903067,2382.86578911812
303,2393.97927452975,2394.0599839832,2348.66740236595,2388.15951996528,2377.52381099368,2379.91705295989,2363.79648205773,2382.92126232931
304,2393.89413534161,2393.66982346298,2348.48582295322,2388.8265865281,2376.77755644515,2379.86622689119,2363.28657441132,2383.16640078752
305,2393.76827118534,2393.32181636211,2348.19944165464,2389.27959278613,2376.24200843465,2379.96364535547,2362.75545414138,2383.53462014975
306,2393.62562948454,2393.02141258052,2347.98960071155,2389.60157197943,2375.87384864958,2380.11440902333,2362.36896080013,2383.93077292519
307,2393.4420131913,2392.81751205732,2347.82933284781,2389.59890188408,2375.78359665498,2380.50933822517,2361.94322744878,2384.65175659434
308,2393.20929247805,2392.6957388568,2347.6367917057,2389.27093215342,2375.96630743906,2381.15430717398,2361.44325966667,2385.68389210944
309,2392.97551559887,2392.56662906666,2347.51100090413,2388.9901538435,2376.20546582401,2381.67699736433,2361.2582057832,2386.46616718733
310,2392.53251694015,2392.24912787395,2347.26570604284,2388.72758936286,2376.69048884315,2382.15294845883,2361.51872348482,2386.71885490785
311,2391.94775577502,2391.83016713749,2346.86191232457,2388.3802462571,2377.40307263271,2382.66521991128,2362.01626796828,2386.70363673019
312,2391.68271768767,2391.62226295264,2346.61953277274,2388.20959328782,2377.81512066919,2382.85277290305,2362.63118382838,2386.67161294022
313,2392.00452535222,2391.89530567518,2347.11679490598,2388.42405361636,2377.84868787628,2382.42344784461,2363.85500651842,2386.55574682897
314,2392.67997856004,2392.50169142272,2348.31188711353,2388.90421753623,2377.77214317236,2381.55560645602,2365.78322356621,2386.25244808073
315,2393.42007857119,2393.12769493333,2349.59466372472,2389.41980450727,2377.57686102597,2380.59399188307,2367.70210767836,2385.95798657122
316,2393.93582664573,2393.45959094512,2350.35497906889,2389.74053398933,2377.25421590565,2379.88334727153,2368.89793156148,2385.86863217614
317,2394.26015130911,2393.48365729354,2350.10884068182,2389.83464890232,2376.44648537952,2379.29492837768,2369.18481269033,2386.12863090298
318,2394.56142944427,2393.39428314879,2349.25107622828,2389.82591182518,2375.27245223563,2378.66466531672,2369.03610101339,2386.54034008011
319,2394.75383484755,2393.18991025112,2348.4897702311,2389.71732170637,2374.43824877234,2378.28431277281,2368.72691794785,2386.78719656464
320,2394.77855647893,2392.67963526988,2347.85442998074,2389.45671629874,2374.03424455275,2378.36580033938,2367.75392527233,2386.88623933218
321,2394.69553705774,2391.94207994906,2347.13136356595,2389.0919490103,2373.75070542989,2378.72049065235,2366.1737414307,2386.99864301126
322,2394.59708101939,2391.37997364083,2346.66385670699,2388.77604227216,2373.69360813694,2379.03928795958,2365.10142283804,2387.02404793836
323,2394.35639741177,2390.85486685801,2346.57557952514,2388.32112147928,2373.99296479751,2379.43003954142,2364.9785599105,2386.74475090102
324,2393.94407077646,2390.21272387166,2346.63792330849,2387.70176794762,2374.54125631197,2379.98317267254,2365.17948452451,2386.24506474742
325,2393.59846878942,2389.83289467123,2346.66575552753,2387.31468798985,2375.08816257859,2380.36346159234,2365.21836528561,2385.87765390501
326,2393.39983446874,2389.97366123525,2346.73315307351,2387.29571390481,2375.79971798021,2380.45799770111,2365.0048574961,2385.69692661606
327,2393.26962968337,2390.46690722565,2346.92587013406,2387.46847467009,2376.78206972814,2380.42657227465,2364.76941881378,2385.549383827
328,2393.20805038555,2391.05238515705,2347.07629012418,2387.76137161634,2377.6950669634,2380.34300936561,2364.50742137737,2385.47582902145
329,2393.21529252752,2391.46984754408,2347.01679645886,2388.10280607426,2378.19855882705,2380.2811330266,2364.21423732559,2385.51706568302
330,2393.24522634641,2391.63075335902,2346.75456771648,2388.65162901178,2378.04345395771,2380.24704445201,2363.70122274296,2385.78715178485
331,2393.2692319539,2391.69835289546,2346.40687966639,2389.37288533499,2377.55075741278,2380.19443590463,2363.03317261967,2386.21046761279
332,2393.31377011411,2391.7900856499,2345.97126151006,2389.90426728177,2377.23546296148,2380.11851803974,2362.58561745289,2386.54330011953
333,2393.64375031157,2391.92499065232,2344.95018003908,2390.2157074324,2376.8903072234,2379.9714049573,2362.41165785665,2386.82118242338
334,2394.19446320576,2392.06104454093,2343.49392552603,2390.49351262875,2376.35950364587,2379.76899898308,2362.3339124655,2387.12961603389
335,2394.49794132318,2392.22409322467,2342.57176239384,2390.69993650111,2376.23526123963,2379.60219311108,2362.38218880742,2387.29984049059
336,2394.33104148273,2392.4810987918,2342.36636373406,2390.78016185987,2376.87417307511,2379.64105987877,2362.75168245731,2387.33717790977
337,2393.95352127365,2392.78344417784,2342.38290917999,2390.74661683854,2377.86650760665,2379.79066845772,2363.36214368217,2387.32032344514
338,2393.62176437794,2392.98360656264,2342.57442296727,2390.66242305213,2378.65498692077,2379.74440679318,2363.83021204811,2387.19057619233
339,2393.11851967558,2393.07838784239,2343.32313377098,2390.51659343744,2379.48682647268,2379.25273439699,2364.09565259239,2386.75642461617
340,2392.42299571797,2393.14806321667,2344.53016548887,2390.29125202055,2380.56785331448,2378.53925641962,2364.3611676165,2386.10445443991
341,2392.08626569418,2393.1703198205,2345.42688519056,2390.03918705043,2381.27870692807,2378.00707926422,2364.63780258284,2385.59311064689
342,2392.3292111516,2393.05567326381,2345.85166338807,2389.61387020264,2381.39454454456,2377.57317344948,2365.03075214598,2385.17325427187
343,2392.80723373356,2392.83536603036,2346.2140122213,2389.06628879957,2381.22698687512,2377.10243780365,2365.47882602837,2384.71965653977
344,2393.22318677306,2392.66817556585,2346.6020112017,2388.74550456035,2380.96136862184,2376.91987119425,2365.74349229417,2384.47662771915
345,2393.80117009098,2392.5132888876,2346.68581721766,2388.64664206967,2380.41848873,2377.06700590061,2365.96778106975,2384.64863519319
346,2394.616215718,2392.31841886225,2346.49544779951,2388.58974530367,2379.57064275691,2377.36688425811,2366.20482740617,2385.04200666462
347,2395.14757530176,2392.22513170949,2346.65877342155,2388.66125506869,2378.83041032272,2377.81677021839,2366.08125675469,2385.30384288132
348,2395.32065182335,2392.4310233201,2347.39674523276,2389.07541965747,2378.20913875372,2378.87143102034,2365.17035091939,2385.44242318911
349,2395.37876206519,2392.80491803614,2348.38777161326,2389.74123968118,2377.56637702851,2380.39045915301,2363.81257832916,2385.6273126987
350,2395.27802837692,2392.99522475419,2349.4459088841,2390.28728442391,2377.08700724567,2381.47835644325,2362.78534437242,2385.74754080527
351,2394.77356965888,2392.85467631645,2350.79804339744,2390.68977977636,2376.7635004077,2381.98021358895,2362.02453621352,2385.81181358321
352,2393.91090672681,2392.57026609726,2352.48372835866,2391.11659681079,2376.48420963774,2382.31027917362,2361.14087561131,2385.86661604804
353,2393.08176480344,2392.29179379132,2354.03602036869,2391.48377258362,2376.27784021538,2382.42679185253,2360.42401984599,2385.85764600657
